,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active,Status,Converted_y_N,Prediction Probability
1021,4.0,2.0,1.0,2.524977524647276,4.0,2.0,1.0,0.0,1.0,1.0,1,0.5276746494594651
7523,3.9744918160576317,1.0255081839423683,0.0,2.483045461669845,3.0255081839423683,2.0,2.0255081839423683,0.0,0.0,3.0,1,0.8479113634718232
10550,5.0,1.0,0.0,2.4186192976519485,4.0,2.0,1.0,0.0,1.0,1.0,1,0.8632956805520685
8794,5.055759368713617,2.0,1.0,2.6417731470429424,8.944240631286384,2.0,1.0,0.0,0.0,3.0,1,0.9765579240262784
8020,4.0,1.0,0.03496420211258111,2.4518878316719284,10.0,2.0,1.0,1.0,1.0,0.0,1,0.860719823838774
2553,4.0,0.0,0.0,2.5815725377636167,3.0,0.0,1.0,0.0,1.0,1.0,1,0.9362048682126962
5208,4.0,2.0,1.0,2.492824463854442,0.0,2.0,2.0,1.0,1.0,0.0,0,0.02052956144542146
11009,5.0,1.0,0.0,2.4326183413941536,5.226299454154863,2.0,1.0,0.0,1.0,1.0,1,0.9091354189195822
7999,5.0,0.0,1.0,2.6140207893383223,4.464645533725473,0.0,1.0,1.0,1.0,0.0,1,0.9374847879287161
10395,3.329688804991759,1.0,1.0,2.6037707367425225,8.0,2.0,1.329688804991759,1.0,0.0,2.0,1,0.9950472171991158
7641,3.0,0.14574062368266227,0.0,2.6278513201009535,1.0,1.1457406236826624,1.0,0.0,1.0,1.0,1,0.9857569821177417
9505,6.0,1.0,0.0,2.5289012693291837,2.155434722971922,2.0,1.0,1.0,1.0,0.0,1,0.7064226076031931
7495,5.123075871542244,0.0,0.12307587154224364,2.490317890170862,7.0,2.0,1.8769241284577562,1.0,1.0,0.0,1,0.9847915797282885
7344,4.0,0.03681438609656784,0.0,2.6983005460721534,6.0,3.0368143860965677,1.0,0.0,1.0,1.0,1,0.989869039291973
8904,3.0,0.8657348503528632,0.0,2.5604990676990287,8.865734850352863,2.0,1.0,0.0,0.0,3.0,1,0.9826253397206095
5583,6.0,1.0,1.0,2.2683401851981295,10.0,0.0,1.0,0.0,1.0,1.0,0,0.2504354616853147
5377,4.0,2.0,0.0,2.503869564022474,3.0,2.0,1.0,1.0,1.0,0.0,0,0.18876914828584296
5232,5.0,1.0,0.0,2.4574871831877636,6.0,0.0,1.0,1.0,1.0,0.0,0,0.11349532637962897
2275,4.0,1.0,1.0,2.492824463854442,3.0,2.0,1.0,0.0,1.0,1.0,1,0.4946943442778381
2048,4.0,1.0,0.0,2.6519433518751416,10.0,2.0,4.0,1.0,0.0,2.0,1,0.9201134835628509
3695,4.0,0.0,1.0,2.307063035651694,6.0,2.0,1.0,1.0,1.0,0.0,0,0.017559172543349762
1507,3.0,0.0,0.0,2.4318593876580854,6.0,2.0,1.0,0.0,1.0,1.0,0,0.3595325739210102
7153,4.0,0.12256186284988113,0.8774381371501189,2.586934074187588,10.0,4.0,1.0,1.0,0.0,2.0,1,0.9970649196831741
2312,4.0,1.0,1.0,2.6300969078575585,9.0,2.0,1.0,1.0,1.0,0.0,0,0.4335943909554151
7072,4.0,1.0,1.0,2.5090832359539648,10.0,2.0,1.0,1.0,1.0,0.0,1,0.6382605401776444
10161,3.0,1.231516244163956,1.0,2.6556513933887884,5.0,2.0,1.0,0.0,0.0,3.0,1,0.9935222477943998
9137,3.1461281460928223,1.0,1.0,2.661845450652334,4.853871853907178,2.0,1.0,0.0,0.0,3.0,1,0.9979643200829076
2874,5.0,1.0,1.0,2.374572871755165,8.0,2.0,2.0,1.0,1.0,0.0,0,0.0009737098344693282
621,5.0,2.0,1.0,2.12324714601878,6.0,2.0,2.0,0.0,0.0,3.0,0,0.04470271444861913
2347,4.0,2.0,1.0,2.4183424053220275,1.0,2.0,2.0,1.0,1.0,0.0,0,0.0067325486712562005
11139,4.0,1.0,0.0,2.3993798154514687,1.0,2.1748078696147655,1.0,1.0,1.0,0.0,1,0.7565267700892649
4108,5.0,2.0,1.0,2.492824463854442,1.0,2.0,1.0,1.0,1.0,0.0,0,0.12270504448415251
497,5.0,1.0,1.0,2.503869564022474,3.0,2.0,1.0,1.0,1.0,0.0,0,0.06090113454135265
10440,1.9820824913898278,2.0,0.0,2.521704337511894,9.0,4.0,2.0179175086101724,0.9820824913898278,1.0,0.01791750861017216,1,0.9424623723674357
584,6.0,0.0,1.0,2.6224819363729917,1.0,2.0,2.0,0.0,1.0,1.0,0,0.3865167261011207
10939,3.0,2.0,0.0,2.6105631438104844,0.045197254857286984,2.0,1.0,0.0,1.0,1.0,1,0.9677287073441451
6559,5.0,2.0,1.0,2.374572871755165,8.0,4.0,1.0,1.0,1.0,0.0,0,0.03714285889918801
10998,5.392908544377552,2.0,1.0,2.5762238888690607,1.0,2.0,1.0,0.0,1.0,1.0,1,0.9726095910823248
9948,4.544346966215217,0.0,0.4556530337847824,2.590494600550033,8.0,0.0,1.5443469662152176,1.0,0.0,2.0,1,0.9971128152066349
1145,5.0,1.0,0.0,2.481426676229533,1.0,2.0,2.0,0.0,0.0,3.0,0,0.08866362687589711
1639,2.0,2.0,1.0,2.469655202750048,3.0,2.0,2.0,0.0,0.0,3.0,0,0.08518876718483841
7615,4.0,1.0,0.45353418582016203,2.5383360730997717,6.0,2.0,1.0,0.0,1.0,1.0,1,0.9719944644892269
3444,3.0,0.0,1.0,2.665739288314852,0.0,2.0,1.0,1.0,1.0,0.0,0,0.32662457413298074
900,5.0,2.0,1.0,2.389737358340596,8.0,2.0,2.0,1.0,1.0,0.0,0,0.008788139181602362
8037,3.9298566308829574,0.0,0.0,2.4594205545730805,6.0,2.9298566308829574,2.9298566308829574,1.0,1.0,0.0,1,0.9158015372032009
5747,5.0,1.0,0.0,2.524977524647276,2.0,2.0,2.0,1.0,1.0,0.0,0,0.1709537892623529
10607,3.4546142999910696,1.4546142999910696,0.0,2.326278914912882,8.0,0.0,1.5453857000089304,1.0,1.0,0.0,1,0.9381732780746183
10946,4.0,1.374512547317984,0.0,2.5640582945119097,10.0,4.0,1.0,0.0,1.0,1.0,1,0.7229302428596034
5667,5.0,1.0,0.0,2.444897673102868,5.0,2.0,1.0,1.0,1.0,0.0,0,0.12771839421797632
9568,4.44833294500598,1.0,0.0,2.5086719913249325,10.0,2.44833294500598,3.0,0.0,1.0,1.0,1,0.9756422744847129
8501,3.0,1.0,1.0,2.518634649589852,4.0,2.0,1.0,0.0,1.0,1.0,1,0.837147119116247
3142,3.0,2.0,0.0,2.4183424053220275,2.0,2.0,2.0,1.0,1.0,0.0,0,0.02311951100111934
732,3.0,0.0,1.0,2.5448880909648666,0.0,0.0,1.0,0.0,1.0,1.0,1,0.9435447861685763
6848,5.0,1.0,1.0,2.444897673102868,3.0,2.0,2.0,1.0,1.0,0.0,0,0.0015822784810126582
10357,4.0,0.74952247983542,1.0,2.421728105537672,9.74952247983542,1.0,1.0,0.0,1.0,1.0,1,0.9403041084128695
8523,4.592771321707781,1.0,0.0,2.620572995021513,3.0,2.0,1.0,0.0,1.0,1.0,1,0.9996044303797469
2463,3.0,0.0,0.0,2.307063035651694,2.0,0.0,2.0,0.0,1.0,1.0,0,0.08263596786052405
5280,3.0,0.0,1.0,2.524977524647276,6.0,3.0,1.0,0.0,1.0,1.0,0,0.4847204749720719
2566,2.0,2.0,0.0,2.554431860990937,2.0,0.0,1.0,1.0,1.0,0.0,1,0.5534397884461079
6138,5.0,0.0,0.0,2.342296594692339,0.0,2.0,2.0,0.0,0.0,3.0,0,0.06267735343663622
1273,4.0,0.0,0.0,2.3587758197041415,7.0,4.0,1.0,0.0,1.0,1.0,0,0.32667880827441126
6760,4.0,1.0,0.0,2.307063035651694,8.0,2.0,1.0,1.0,1.0,0.0,0,0.11585367524447353
4592,4.0,1.0,1.0,2.225445051482812,7.0,2.0,1.0,0.0,1.0,1.0,0,0.09053880625455456
6055,4.0,1.0,1.0,2.404313823748339,4.0,3.0,1.0,1.0,1.0,0.0,0,0.026951725778978204
8865,6.0,0.5654094966500919,0.5654094966500919,2.512300624667361,9.565409496650092,2.0,1.0,1.0,0.0,2.0,1,0.9433735041329977
7280,5.609978601020785,2.0,0.0,2.669851385933362,4.0,2.0,3.0,0.3900213989792146,0.0,2.6099786010207855,1,1.0
4201,5.0,1.0,1.0,2.503869564022474,8.0,2.0,1.0,0.0,1.0,1.0,0,0.24483041993059818
10645,4.0,0.0,1.0,2.637774834865429,6.815116408429875,1.1848835915701246,1.0,0.0,1.0,1.0,1,0.9748768354217662
7637,4.1738494395809065,0.17384943958090637,0.0,2.614573603676246,5.0,2.0,1.0,0.0,0.0,3.0,1,0.9961466865227102
9776,3.611397864427123,1.0,0.0,2.537402476355143,0.3886021355728768,2.0,1.0,0.0,0.0,3.0,1,0.8889106029838187
316,3.0,1.0,1.0,2.524977524647276,0.0,3.0,2.0,1.0,1.0,0.0,0,0.05797838631390772
3145,3.0,1.0,1.0,2.4574871831877636,6.0,2.0,2.0,0.0,0.0,3.0,0,0.008159441324831065
8906,5.0,1.0,0.0,2.6074733648115185,2.3653984242099124,2.0,1.0,0.0,1.0,1.0,1,0.9947257383966246
