,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active,Status,Converted_y_N
7281,3.468304372019074,0.0,0.0,2.4819741975828027,9.0,2.0,2.531695627980926,1.0,1.0,0.0,1
1897,2.0,2.0,1.0,2.307063035651694,6.0,4.0,1.0,0.0,1.0,1.0,0
10829,4.0,1.0,1.0,2.6574964881240257,1.0,2.0,1.3685532518050558,1.0,1.0,0.0,1
3902,5.0,1.0,1.0,2.715689097851082,5.0,2.0,3.0,1.0,1.0,0.0,0
4025,5.0,2.0,0.0,2.374572871755165,9.0,2.0,2.0,0.0,1.0,1.0,0
8193,5.0,0.0,0.0,2.5112373314748835,8.0,0.0,2.0,0.0,1.0,1.0,1
1825,3.0,1.0,0.0,2.492824463854442,0.0,2.0,1.0,1.0,1.0,0.0,0
5839,5.0,1.0,1.0,2.6300969078575585,4.0,2.0,2.0,1.0,1.0,0.0,0
6309,4.0,1.0,1.0,2.503869564022474,6.0,2.0,2.0,1.0,1.0,0.0,0
3437,4.0,1.0,0.0,2.590160680985161,0.0,0.0,2.0,0.0,1.0,1.0,0
5072,4.0,2.0,0.0,2.444897673102868,9.0,2.0,1.0,0.0,1.0,1.0,1
2735,4.0,1.0,0.0,2.5985366483993895,4.0,2.0,2.0,0.0,1.0,1.0,1
4346,5.0,2.0,1.0,2.492824463854442,3.0,2.0,2.0,1.0,0.0,2.0,0
7569,4.558647732546833,1.0,0.0,2.6197749419713574,3.0,2.0,1.0,0.0,1.0,1.0,1
920,3.0,2.0,0.0,2.7039141344611437,6.0,2.0,2.0,1.0,0.0,2.0,0
10792,4.0,1.0,1.0,2.6518256303858982,1.0,2.0,1.2638196488162157,1.0,1.0,0.0,1
10094,2.780392007951953,1.0,0.0,2.5843539129548025,1.2196079920480472,2.0,1.2196079920480472,0.0,0.0,3.0,1
7471,4.0,0.0,0.4697929452155589,2.623837323633038,9.46979294521556,2.0,1.0,1.0,1.0,0.0,1
211,3.0,1.0,1.0,2.554431860990937,6.0,3.0,1.0,0.0,1.0,1.0,0
167,6.0,0.0,1.0,2.7270409433711076,3.0,2.0,1.0,1.0,1.0,0.0,0
4508,4.0,1.0,0.0,2.404313823748339,4.0,2.0,2.0,1.0,1.0,0.0,0
7667,5.0,0.8276004784141976,0.8276004784141976,2.6026551882731193,7.8276004784141975,0.0,1.0,1.0,1.0,0.0,1
